"Land Area","Ocean Area","Environment","Species","Scientific name","1950","S_1950","1951","S_1951","1952","S_1952","1953","S_1953","1954","S_1954","1955","S_1955","1956","S_1956","1957","S_1957","1958","S_1958","1959","S_1959","1960","S_1960","1961","S_1961","1962","S_1962","1963","S_1963","1964","S_1964","1965","S_1965","1966","S_1966","1967","S_1967","1968","S_1968","1969","S_1969","1970","S_1970","1971","S_1971","1972","S_1972","1973","S_1973","1974","S_1974","1975","S_1975","1976","S_1976","1977","S_1977","1978","S_1978","1979","S_1979","1980","S_1980","1981","S_1981","1982","S_1982","1983","S_1983","1984","S_1984","1985","S_1985","1986","S_1986","1987","S_1987","1988","S_1988","1989","S_1989","1990","S_1990","1991","S_1991","1992","S_1992","1993","S_1993","1994","S_1994","1995","S_1995","1996","S_1996","1997","S_1997","1998","S_1998","1999","S_1999","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015","2016","S_2016","2017","S_2017","2018","S_2018"
"Middle Africa","Africa - Inland waters","Freshwater","Carps, barbels and other cyprinids","Carps, barbels and other cyprinids","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","1","F","3","F","6","F","10","F","14","F","20","F","25","F","95","","26","","31","","34","","42","","30","F","20","F","10","F","5","F","3","","3","F","5","F","5","F","4","","4","","4","F","0",".","0",".","26","F","28","F","26","F","27","F","30","F","40","F","40","F","40","F","48","F","48","","40","","40","F","40","F","40","F","44","","44","","44","F"
"Middle Africa","Africa - Inland waters","Freshwater","Miscellaneous freshwater fishes","Miscellaneous freshwater fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","1","F","4","F","9","F","5","F","13","F","20","F","46","","18","","9","","10","","11","","10","F","11","F","9","F","3","F","6","","12","","14","F","16","F","6","","11","","31","","38","","57","F","141","","167","F","207","F","207","","212","F","273","F","278","F","291","F","315","F","318","","280","","509","F","748","F","1023.5","F","1240.7","","1489.7","","1449.7","F"
"Middle Africa","Africa - Inland waters","Freshwater","Tilapias and other cichlids","Tilapias and other cichlids","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","-","0","-","0","-","0","-","0","-","5","F","15","F","34","F","54","F","76","F","101","F","132","F","167","F","251","F","580","","617","","1060","","1028","","1131","","1185","F","1122","F","1106","F","1313","F","1284","F","1089","F","1026","F","955","F","1293","F","2263","","2890","","2837","","3139","","3455","","3501","F","3496","F","3542","F","3608","F","3684","F","3749","F","3800","F","3860","F","3870","F","4030","","3952","","4357","","5227","","5317.3","","6157.3","F","6523.3","F"
"Northern Africa","Africa - Inland waters","Brackishwater","River eels","River eels","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","44","","34","","82","","69","","72","","53","","46","","22","","1","","0","-","22","","20","F","17","F","17","F","22","","15","","23","F","33","F","34","F","16","F","16","F","15","F","7","","45","","20.73","","16.2","","10.219","","3","","0.412","","0","-","0","-","0","-","0","-","0","-","26.86",""
"Northern Africa","Africa - Inland waters","Brackishwater","Carps, barbels and other cyprinids","Carps, barbels and other cyprinids","0","-","0","-","0","-","0","-","0","-","50","F","100","F","200","F","300","F","400","F","400","F","600","F","600","F","800","F","1000","F","1000","F","900","F","800","F","800","F","900","F","900","F","1000","F","1150","F","1200","F","1200","F","1200","F","1500","F","1750","F","2000","F","2250","F","2500","F","2750","F","3450","F","3500","F","3000","","5000","","5000","","5000","","6000","","6000","","6000","","7300","","7300","","2890","","2500","","11668","","17475","","27646","","38320","","51323","","66231","","72422","","75885","","88277","","87674","","114465","","84706","","99929","","61806","","62270","","80000","F","85000","F","21700","F","123800","F","52000","F","30000","F","70000","F","64500","F","67000","F"
"Northern Africa","Africa - Inland waters","Brackishwater","Miscellaneous freshwater fishes","Miscellaneous freshwater fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","7","","0","-","0","-","13","","2","","0","-","15","F","2","F","3","F","3","F","3","F","0","-","0","-","0","-","728","","323","","320","","385","","10415","","6012","","5502","","8813.19","","8626.345","","4809.108","F","6765.82","F","6984.87","F","6732.61","F","4249.08","F","1822.03","F","2299","F","3556","F","1836","F"
"Northern Africa","Africa - Inland waters","Brackishwater","Tilapias and other cichlids","Tilapias and other cichlids","700","F","700","F","1000","F","1200","F","1400","F","1600","F","1600","F","1800","F","2000","F","2050","F","2050","F","2200","F","2200","F","2400","F","2700","F","2400","F","2300","F","2250","F","2250","F","2300","F","2250","F","2700","F","3150","F","3700","F","3700","F","3700","F","4500","F","5400","F","6300","F","7200","F","8100","F","9000","F","9990","F","10500","F","10000","F","20000","F","20000","F","20000","F","20000","F","20000","F","20000","","18000","","18000","","17338","","22500","","19992","","26134","","28500","","49900","","91103","","137919","","128799","","138456","","166354","","176863","","206626","","202606","","233813","","363422.792","","363307.451","","527267.3","F","580643.366","F","718766.014","F","600844.952","","714623.655","F","800038.6","F","840035","F","854843","F","930354.36","F"
"Northern Africa","Africa - Inland waters","Brackishwater","Miscellaneous coastal fishes","Miscellaneous coastal fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","22","","25","","30","","36","","32","","20","","19","","738","","728","","775","","770","","785","","1003","","2264","","3624","","2743","","10056","","873","","1273","","1790","","1813","","4193","","381","","604","","4384.71","","5357.948","","16282.391","","17676.529","","13754.066","","12278.35","","15168.676","","14344.1","F","24499","","30721","","24924.58",""
"Northern Africa","Africa - Inland waters","Freshwater","River eels","River eels","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","144","","0",".","151","","0",".","0",".","18","","28","","110","","55","","77","","40","","23","","32","","47","","66","","69","","68","","120","","68","","78","","121","","71","","83","","344","","356","","285","","288","","278","","277",""
"Northern Africa","Africa - Inland waters","Freshwater","Salmons, trouts, smelts","Salmons, trouts, smelts","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","","5","","5","","5","","5","","10","","10","","30","","30","","15","","10","","14","","15","","20","","100","","150","","185","","100","","100","","93","","105","","100","","120","","60","","80","","80","","50","","50","","50","","50","","50","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100",""
"Northern Africa","Africa - Inland waters","Freshwater","Carps, barbels and other cyprinids","Carps, barbels and other cyprinids","1300","F","1300","F","1500","F","1500","F","1600","F","1700","F","1700","F","1800","F","2000","F","2100","F","2100","F","2300","F","2300","F","2600","F","3000","F","2600","F","2500","F","2400","F","2400","F","2500","F","2600","F","3000","F","3350","F","3800","F","3800","F","3800","F","4500","F","5250","F","6002","F","6752","F","7503","F","8254","F","9165","F","9510","F","12057","","13078","","15129","","15176","","19219","","24332","","25368","","23075","","25193","","19665","","18414","","20865","","22489","","8422","","14210","","24446","","17954","","19634","","17592","","18335","","49040","","30748","","13813","","11242","","13845.71","","13663.768","","113381.398","F","120833.589","F","47974.797","F","172366.741","F","148635.61","F","66002.2","F","132288","F","111236","F","116908.58","F"
"Northern Africa","Africa - Inland waters","Freshwater","Miscellaneous freshwater fishes","Miscellaneous freshwater fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","-","0","-","0","-","0","-","0","-","0","-","1","","1","","2","","4","","4","","466","","392","","263","","1318","","2093","","2154","","405","","325","","281","","760","","150","","764","","755","F","950","F","1091","F","1170","F","1073","","6418","","10139.078","","6118.968","F","7544.933","F","10083.26","F","9053.023","F","10896.413","F","8798.73","F","8304","F","9827","F","7537.22","F"
"Northern Africa","Africa - Inland waters","Freshwater","Tilapias and other cichlids","Tilapias and other cichlids","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","50","F","50","F","100","F","100","F","200","F","300","F","200","F","200","F","150","F","150","F","200","F","250","F","300","F","350","F","300","F","300","F","300","F","500","F","600","F","700","F","800","F","900","F","1000","F","1400","F","1500","F","2010","F","2376","F","5041","F","5043","F","5045","F","5100","F","5150","","4359","","3705","","2729","","2924","","2987","","2730","","2926","","3865","","13895","","20516","","24726","","30289","","34213","","23185","","11403","","57329","","33559","","24622","","29416","","32160","F","32120","F","55117","F","40113","F","50215","F","80232","F","104587","F","117822","F","129436","F"
"Northern Africa","Africa - Inland waters","Freshwater","Miscellaneous coastal fishes","Miscellaneous coastal fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","5","F","42","F","20","F","5","F","42","F","139","","170","F","203","","175","","295","","485","","254","","209","","295","","395","","302","","314","","360","","351","","19541","","27667","","59115","","59363","","27454","","30362","F","30375","F","26415","F","27269","F","42542","F","38993","F","28385","F","31622","F"
"Northern Africa","Atlantic Ocean and adjacent seas","Brackishwater","Shrimps, prawns","Shrimps, prawns","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","1","","1","","2","","2","","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","9","","90","","0","-","0","-","3298","","313","","87","","131","","200","","792.08","","766.137","","1109","","5856","","7235","","17","","106","","142","","156.25",""
