"Land Area","Ocean Area","Environment","Species","Scientific name","1950","S_1950","1951","S_1951","1952","S_1952","1953","S_1953","1954","S_1954","1955","S_1955","1956","S_1956","1957","S_1957","1958","S_1958","1959","S_1959","1960","S_1960","1961","S_1961","1962","S_1962","1963","S_1963","1964","S_1964","1965","S_1965","1966","S_1966","1967","S_1967","1968","S_1968","1969","S_1969","1970","S_1970","1971","S_1971","1972","S_1972","1973","S_1973","1974","S_1974","1975","S_1975","1976","S_1976","1977","S_1977","1978","S_1978","1979","S_1979","1980","S_1980","1981","S_1981","1982","S_1982","1983","S_1983","1984","S_1984","1985","S_1985","1986","S_1986","1987","S_1987","1988","S_1988","1989","S_1989","1990","S_1990","1991","S_1991","1992","S_1992","1993","S_1993","1994","S_1994","1995","S_1995","1996","S_1996","1997","S_1997","1998","S_1998","1999","S_1999","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015","2016","S_2016","2017","S_2017","2018","S_2018"
"Africa","Inland waters","Freshwater","Euro-American crayfishes nei","Astacidae, Cambaridae","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","2","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0",".","0",".","0",".","0",".","0","."
"Africa","Inland waters","Freshwater","Giant river prawn","Macrobrachium rosenbergii","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","5","","15","","18","","28","","35","","32","","33","","43","","49","","75","","70","","68","","57","","57","","63","","50","","72","","62","","66","","48","","31","","27","","34","","19","","27","","10","","8","","10","","5","","6","","4","","4","","3","","3","","2.8","","3.3","","0.5","","0.09","","0.02","","0.32","","0","-"
"Africa","Inland waters","Freshwater","Red claw crayfish","Cherax quadricarinatus","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","5","","3","","7","","13","","13","","10","F","2","","1","","0","-","0","0","0","0","0","-","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0",".","0","."
"Africa","Inland waters","Freshwater","Red swamp crawfish","Procambarus clarkii","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","0","1","","1","F","0","0","0","0","0","0","0","0","0","0","1","","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"Africa","Inland waters","Freshwater","Smooth marron crayfish","Cherax cainii","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","1","","2","","1","","2","","1","","4","","3","","2","","3","","3","F","3","","2","","2","","2","F","2","F","8","","8","F","0.8","","0.8","","3.5","","5","F","5","F","4","","4","F","6.84","","4",""
"Africa","Inland waters","Freshwater","European eel","Anguilla anguilla","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","144","","0",".","151","","0",".","0",".","18","","28","","110","","55","","77","","40","","23","","32","","47","","66","","69","","68","","120","","65","","75","","120","","71","","82","","343","","352","","281","","285","","277","","266",""
"Africa","Inland waters","Freshwater","River eels nei","Anguilla spp","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","3","","23","F","31","F","30","F","41","F","11","","14","F","24.21","","3","","1","","25.617",""
"Africa","Inland waters","Freshwater","Rainbow trout","Oncorhynchus mykiss","180","F","200","F","200","F","250","F","270","F","300","F","320","F","350","F","370","F","350","F","380","F","410","F","360","F","380","F","430","F","399","F","370","F","360","F","317","F","293","F","240","F","220","F","172","F","192","F","182","F","183","F","182","F","167","F","177","F","182","F","170","F","160","","157","","192","","557","F","630","F","787","F","804","F","937","","856","","1184","","1509","","1322","","1430","","1421","","1164","","991","","1309","","1913","","1446","","1892","","1723","","1798","F","1929","","1178","","1144","","1194","F","1343","F","1646","","1319","","1638","","1971.1","","2335","","2626.3","F","2955.46","F","2983.5","F","3607.4","F","3921","","4958",""
"Africa","Inland waters","Freshwater","Trouts nei","Salmo spp","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","-","0","-","0","-","0","-","92","","201","","200","","191","","180","","156","","279","","218","","25","","14","","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0",".","0",".","0",".","0",".","0","."
"Africa","Inland waters","Freshwater","Algerian barb","Barbus callensis","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","96","","97","","145","","152","","333","","248","","188","","117","","134","","117","","113","","116","","113","","85","","75","","67","","55","","16","","36","","44","","81","","120","","119","","232","","78",""
"Africa","Inland waters","Freshwater","Barbel","Barbus barbus","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","186.38","","269.619","","197.99","","167.523","","185.271","","179.05","","126","","130","F","130","F","78.57",""
"Africa","Inland waters","Freshwater","Bleak","Alburnus alburnus","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","10.04","","12","","6.89","","0","-","0",".","0",".","0",".","0","."
"Africa","Inland waters","Freshwater","Common carp","Cyprinus carpio","1300","F","1300","F","1500","F","1500","F","1600","F","1700","F","1700","F","1800","F","2000","F","2100","F","2100","F","2300","F","2300","F","2600","F","3000","F","2600","F","2500","F","2400","F","2400","F","2500","F","2600","F","3000","F","3350","F","3800","F","3810","F","3821","F","4529","F","5280","F","6040","F","6810","F","7590","F","8377","F","9332","F","9724","F","12368","","13306","","15252","","15276","","19402","","24504","","25671","","23588","","27135","","21541","","21523","","23958","","24620","","13762","","15327","","25782","","19689","","21672","","19569","","20250","","3326","","3247.15","","3373.2","","3893.2","F","15100.25","","15409.4","","35895.5","F","38937.87","F","28971.87","F","51652.43","F","50879.41","F","34705.2","F","53879.6","F","49535","F","47931.75","F"
