"Land Area","Ocean Area","Environment","Species","Scientific name","1950","S_1950","1951","S_1951","1952","S_1952","1953","S_1953","1954","S_1954","1955","S_1955","1956","S_1956","1957","S_1957","1958","S_1958","1959","S_1959","1960","S_1960","1961","S_1961","1962","S_1962","1963","S_1963","1964","S_1964","1965","S_1965","1966","S_1966","1967","S_1967","1968","S_1968","1969","S_1969","1970","S_1970","1971","S_1971","1972","S_1972","1973","S_1973","1974","S_1974","1975","S_1975","1976","S_1976","1977","S_1977","1978","S_1978","1979","S_1979","1980","S_1980","1981","S_1981","1982","S_1982","1983","S_1983","1984","S_1984","1985","S_1985","1986","S_1986","1987","S_1987","1988","S_1988","1989","S_1989","1990","S_1990","1991","S_1991","1992","S_1992","1993","S_1993","1994","S_1994","1995","S_1995","1996","S_1996","1997","S_1997","1998","S_1998","1999","S_1999","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015","2016","S_2016","2017","S_2017","2018","S_2018"
"Northern Africa","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","1300","F","1300","F","1500","F","1500","F","1600","F","1700","F","1700","F","1800","F","2000","F","2150","F","2150","F","2400","F","2400","F","2800","F","3300","F","2800","F","2700","F","2550","F","2550","F","2700","F","2850","F","3300","F","3700","F","4100","F","4100","F","4100","F","5000","F","5850","F","6702","F","7552","F","8403","F","9254","F","10565","F","11010","F","14067","","15454","","20171","","20220","","24266","","29436","","30522","","27900","","29290","","22657","","22656","","25945","","27373","","11753","","18400","","38622","","39230","","44510","","48645","","53303","","73175","","43242","","72312","","45874","","44885.71","","53218.846","","151660.366","F","160498.522","F","113175.057","F","221532.764","F","209747.023","F","155032.93","F","245179","F","238885","F","253881.8","F"
"Northern Africa","Inland waters","Freshwater","Marine fishes","Marine fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","5","F","42","F","20","F","5","F","42","F","139","","170","F","203","","175","","295","","485","","254","","209","","295","","395","","302","","314","","360","","351","","19541","","27667","","59115","","59363","","27454","","30362","F","30375","F","26415","F","27269","F","42542","F","38993","F","28385","F","31622","F"
"Northern Africa","Marine areas","Brackishwater","Crustaceans","Crustaceans","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","1","","1","","2","","2","","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","9","","90","","0","-","0","-","3298","","313","","87","","131","","200","","792.08","","766.137","","1109","","5856","","7235","","17","","106","","142","","156.25",""
"Northern Africa","Marine areas","Brackishwater","Diadromous fishes","Diadromous fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","60","","35","","41","","68","","85","","55","","29","","21","","27","","28","","35","","28","","24","","24","","30","","27","","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"Northern Africa","Marine areas","Brackishwater","Marine fishes","Marine fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","-","0","-","4","F","10","F","20","","1529","F","565","F","1478","F","2772","F","5935","F","6379","","8342","","9324","","8482","","9613","","15990","","22077","","19093","","32906","","46017","","90031","","98918","","115725","","139022","","136264","","162052","","214012","","228008","","159029.83","","161512.868","","120169.507","","117416.493","F","130363.386","F","120319.839","F","126409.433","F","153792.57","F","173119","F","263179","F","288457.06","F"
"Northern Africa","Marine areas","Brackishwater","Mollusks","Mollusks","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","4","F","10","F","16","F","22","F","28","F","35","F","41","F","47","F","53","F","59","F","65","F","71","F","81","F","92","F","105","F","118","F","157","F","194","F","218","","251","","257","","286","","530","","514","F","372","","408","","232","","280","","193","","329","","285","","347","","333","","232","","310","","234","","390","","331","","232","","373","","435","","890","","314.954","","362.574","","455.341","","381.903","","361.697","","395.366","","489.106","","453.76","","494","","581","","693.781",""
"Northern Africa","Marine areas","Marine","Crustaceans","Crustaceans","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","-","0","-","0","-","0","-","0","-","0","-","3","","0","0","35","","31","","7","","1","","0","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0",".","0",".","0","."
"Northern Africa","Marine areas","Marine","Diadromous fishes","Diadromous fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","2","F","9","F","17","F","25","F","33","F","41","F","50","F","58","F","66","F","0","0","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"Northern Africa","Marine areas","Marine","Marine fishes","Marine fishes","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","4","","445","","561","","521","","797","","1151","","1175","","1122","","897","","771","","957","","678","","577","","753","","1084","","1057","","1788","","879","","739","","549","","880","","486.77","","134","F","389","F","800","F","333","","221","","224","","154.7","","130.535",""
"Northern Africa","Marine areas","Marine","Mollusks","Mollusks","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","37","","27","F","10","F","20","","0","0","0","0","0","0","29","","3","","8","","18","","0","-","50","","50","","50","","0","-","0","-","0","-","4","","34","","11.78","","0","-","0","-","0","-","0","-","0","-","0",".","0",".","0","."
"Southern Africa","Inland waters","Freshwater","Crustaceans","Crustaceans","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","1","","2","","3","","7","","4","","8","","9","","7","F","9","F","3","F","3","","2","","2","","2","F","2","F","8","","8","F","0.8","","0.8","","3.5","","5","F","5","F","4","","4","F","6.84","","4",""
